Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,499.0,501.2,500.0,500.6,502.1,505.2,507.1,506.1,506.4,509.5,511.2,513.1,6061.5
2020,514.2,516.7,517.3,441.2,394.5,391.2,412.6,425.6,426.8,409.8,417.8,425.2,5292.9
2021,442.2,439.9,446.4,449.5,453.7,457.1,459.7,464.2,469.9,474.8,476.8,479.3,5513.5
2022,481.3,483.0,487.7,492.2,498.6,505.0,513.0,515.0,517.1,521.6,526.6,530.3,6071.4
