Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,35.2,34.2,34.9,35.6,36.4,37.4,37.3,37.3,35.9,34.6,35.1,34.3,428.2
2020,33.5,33.9,32.6,13.5,15.5,17.3,16.4,16.1,16.3,18.1,20.5,21.3,255.0
2021,20.1,20.2,21.3,21.7,21.6,21.7,22.2,23.3,24.4,25.6,28.5,28.8,279.4
2022,29.6,30.4,28.5,26.6,32.8,31.3,30.0,29.3,29.6,29.9,29.6,29.2,356.8
