Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,987.9,985.2,984.9,984.5,984.9,983.5,977.8,972.7,974.6,974.0,982.4,977.9,11770.3
2020,972.8,969.9,955.9,710.6,682.3,784.6,831.2,857.4,874.8,896.7,909.2,906.3,10351.7
2021,886.3,886.2,895.0,900.4,901.7,899.6,900.9,906.0,910.4,920.6,931.9,927.2,10866.2
2022,914.2,922.5,919.6,915.8,912.6,911.9,908.0,904.7,895.9,882.5,874.0,870.3,10832.0
