Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,16118.2,16138.2,16176.9,16205.3,16229.6,16262.4,16281.7,16311.1,16342.8,16358.8,16398.5,16418.8,195242.3
2020,16452.0,16480.6,16395.6,14874.8,15206.3,15573.5,15698.0,15782.1,15847.4,15909.9,15943.0,16001.4,190164.6
2021,15928.6,15953.0,15999.9,16001.0,16013.7,15999.1,16005.1,16001.6,15974.9,16004.2,16022.4,16032.8,191936.3
2022,16035.2,16094.6,16117.9,16161.0,16202.6,16256.7,16332.4,16378.7,16433.2,16500.3,16551.2,16604.9,195668.7
