Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,20170.5,20203.1,20264.3,20324.8,20359.4,20402.1,20433.0,20489.1,20531.0,20571.7,20633.6,20672.7,245055.3
2020,20724.0,20778.9,20654.3,18478.5,18868.1,19344.7,19521.5,19649.6,19763.0,19852.0,19909.4,19973.3,237517.3
2021,19896.6,19945.5,20018.5,20051.3,20078.0,20070.7,20081.4,20078.8,20084.2,20123.8,20156.1,20184.6,240769.5
2022,20163.3,20261.3,20311.5,20368.7,20437.2,20514.3,20617.3,20685.0,20764.2,20855.9,20937.6,21022.6,246938.9
