Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,4052.3,4064.9,4087.4,4119.5,4129.8,4139.7,4151.3,4178.0,4188.2,4212.9,4235.1,4253.9,49813.0
2020,4272.0,4298.3,4258.7,3603.7,3661.8,3771.2,3823.5,3867.5,3915.6,3942.1,3966.4,3971.9,47352.7
2021,3968.0,3992.5,4018.6,4050.3,4064.3,4071.6,4076.3,4077.2,4109.3,4119.6,4133.7,4151.8,48833.2
2022,4128.1,4166.7,4193.6,4207.7,4234.6,4257.6,4284.9,4306.3,4331.0,4355.6,4386.4,4417.7,51270.2
