Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,8063,8057,8058,8052,8045,8044,8048,8040,8036,7981,8022,8011
2020,8003,8001,7967,7067,7204,7460,7494,7487,7526,7529,7555,7579
2021,7572,7592,7628,7593,7620,7638,7689,7714,7740,7779,7795,7818
2022,7838,7858,7907,7937,7946,7955,7981,8010,8021,8045,8055,8075
