Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,12828,12818,12825,12822,12818,12824,12827,12826,12825,12771,12816,12798
2020,12785,12780,12721,11419,11652,11982,12019,12047,12102,12124,12154,12194
2021,12188,12217,12272,12232,12264,12285,12353,12401,12439,12497,12534,12575
2022,12602,12649,12717,12768,12787,12817,12852,12882,12899,12930,12935,12934
