Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,551.3,550.4,550.4,547.6,549.7,552.3,550.6,549.2,548.0,546.1,547.6,548.8
2020,547.1,547.2,547.5,542.6,542.0,540.1,539.4,541.2,542.7,541.3,541.6,541.4
2021,542.4,542.5,543.4,543.8,544.1,545.5,545.7,544.9,545.6,545.9,547.1,547.7
2022,550.8,551.4,552.0,553.1,555.4,557.2,560.1,562.8,563.8,566.0,566.9,568.3
