Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,5587.6,5571.9,5584.7,5617.2,5639.1,5675.2,5687.8,5695.8,5710.2,5717.5,5735.9,5760.3
2020,5815.3,5779.3,5799.3,5284.2,5304.4,5433.7,5491.7,5591.5,5657.0,5739.7,5859.3,5869.9
2021,5893.8,5932.2,6012.9,6003.6,6032.4,6087.4,6139.9,6194.4,6242.1,6309.0,6395.2,6441.6
2022,6486.2,6570.5,6589.0,6613.3,6640.4,6651.6,6655.4,6639.3,6621.8,6619.2,6609.0,6589.4
