Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,4765,4761,4767,4770,4773,4780,4779,4786,4789,4790,4794,4787
2020,4782,4779,4754,4352,4448,4522,4525,4560,4576,4595,4599,4615
2021,4616,4625,4644,4639,4644,4647,4664,4687,4699,4718,4739,4757
2022,4764,4791,4810,4831,4841,4862,4871,4872,4878,4885,4880,4859
