Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,16488,16494,16504,16527,16507,16512,16522,16602,16673,16722,16761,16805
2020,16814,16899,16164,8715,9936,11764,12402,12566,13075,13337,13260,12796
2021,12792,13139,13298,13552,13762,14064,14486,14606,14738,14957,15086,15254
2022,15328,15444,15523,15611,15670,15760,15910,15973,16055,16150,16205,16255
