Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,5854,5856,5875,5891,5886,5894,5899,5901,5903,5898,5911,5917
2020,5931,5941,5848,4512,4739,5090,5233,5291,5335,5357,5344,5312
2021,5317,5326,5340,5368,5375,5441,5485,5523,5535,5570,5594,5616
2022,5602,5649,5657,5667,5670,5677,5707,5711,5727,5739,5758,5769
