Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,106554,106587,106735,106955,107048,107182,107283,107453,107615,107744,107892,108045
2020,108204,108363,107123,89941,92389,96511,97923,98955,99972,100749,101051,100736
2021,101028,101612,102181,102486,102913,103573,104356,104740,105151,105950,106488,106946
2022,107194,107920,108307,108488,108686,109051,109521,109726,109925,110209,110371,110476
