Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,5879.6,5885.2,5883.3,5890.1,5889.1,5880.9,5887.4,5885.9,5888.7,5894.4,5894.7,5898.3
2020,5897.0,5891.7,5875.1,5484.8,5502.4,5542.0,5523.3,5539.3,5565.4,5578.6,5590.8,5600.1
2021,5612.5,5621.1,5635.1,5652.4,5671.2,5697.6,5722.8,5739.9,5753.2,5774.2,5801.2,5829.1
2022,5851.6,5878.3,5915.4,5946.9,5970.1,5984.5,6001.1,6019.8,6024.9,6043.9,6050.3,6063.3
