Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,127554,127542,127725,127983,128078,128240,128362,128530,128705,128788,128957,129066
2020,129258,129442,128066,108506,111645,116227,117703,118787,119885,120729,121078,120842
2021,121128,121666,122413,122680,123127,123804,124684,125135,125631,126530,127156,127695
2022,127958,128823,129318,129557,129815,130233,130773,131017,131265,131596,131791,131924
