Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,21161,21191,21220,21278,21325,21367,21389,21419,21426,21435,21443,21421
2020,21434,21437,21357,19180,19361,19729,19910,20089,20237,20424,20559,20716
2021,20871,20937,21075,21057,21121,21221,21376,21476,21569,21830,21971,22090
2022,22176,22303,22450,22425,22454,22522,22614,22637,22678,22726,22726,22733
