Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,21000,20955,20990,21028,21030,21058,21079,21077,21090,21044,21065,21021
2020,21054,21079,20943,18565,19256,19716,19780,19832,19913,19980,20027,20106
2021,20100,20054,20232,20194,20214,20231,20328,20395,20480,20580,20668,20749
2022,20764,20903,21011,21069,21129,21182,21252,21291,21340,21387,21420,21448
