Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,805.2,807.4,809.5,814.3,819.5,823.6,825.3,825.9,831.2,835.9,836.7,836.6,9871.1
2020,841.1,847.6,850.4,824.6,818.9,819.8,815.3,819.2,824.1,828.9,832.4,836.8,9959.1
2021,842.1,846.9,852.9,854.7,865.9,869.5,873.3,878.2,881.9,887.1,893.2,901.7,10447.4
2022,911.2,916.1,930.9,937.4,942.6,954.3,951.5,954.2,966.0,959.9,963.2,963.0,11350.3
