Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,8671,8683,8705,8723,8736,8749,8770,8787,8785,8801,8814,8823,105047
2020,8838,8873,8853,8589,8607,8622,8623,8646,8676,8696,8706,8722,104451
2021,8733,8726,8736,8752,8762,8768,8803,8821,8848,8880,8910,8938,105677
2022,8935,8983,9002,9038,9051,9058,9073,9089,9095,9123,9134,9145,108726
