Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,5584.1,5582.5,5587.8,5591.5,5593.2,5596.1,5597.8,5600.9,5597.9,5597.8,5606.0,5607.9,67143.5
2020,5610.1,5609.4,5559.5,4728.3,4902.6,5135.9,5184.1,5227.8,5273.6,5302.5,5310.6,5314.4,63158.8
2021,5330.3,5331.1,5348.9,5340.6,5349.8,5365.9,5402.3,5411.5,5398.6,5446.5,5462.5,5471.8,64659.8
2022,5476.3,5495.4,5505.8,5528.1,5528.7,5527.2,5546.6,5552.6,5565.1,5566.1,5568.1,5571.3,66431.3
