Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,312.6,314.5,315.0,315.5,317.5,317.1,317.2,320.5,321.6,324.1,324.9,326.0,3826.5
2020,325.2,327.1,326.8,309.4,309.8,311.8,312.3,315.4,318.0,322.1,323.8,325.0,3826.7
2021,322.3,323.8,324.9,326.7,328.0,329.2,329.0,330.5,331.0,334.8,336.9,337.7,3954.8
2022,331.3,335.4,339.9,343.1,345.0,345.6,346.2,348.5,350.9,353.4,356.0,357.3,4152.6
