Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,2842,2843,2849,2846,2858,2875,2866,2865,2871,2874,2885,2891,34365
2020,2897,2907,2899,2641,2607,2626,2618,2641,2697,2695,2701,2715,32644
2021,2746,2763,2772,2794,2818,2840,2868,2898,2920,2935,2953,2968,34275
2022,2987,2991,3022,3034,3060,3083,3089,3089,3098,3095,3108,3095,36751
