Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,747,742,740,738,734,732,726,721,718,720,708,696,8722
2020,689,684,676,618,594,578,569,561,560,556,555,558,7198
2021,549,539,554,555,555,559,562,565,566,570,573,580,6727
2022,575,582,590,597,599,608,614,611,615,618,625,630,7264
