Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,150062,150067,150294,150602,150640,150844,150934,151155,151358,151458,151666,151792,1810872
2020,152045,152309,150898,130421,133040,137655,139240,140774,141820,142493,142761,142518,1705974
2021,142916,143443,144274,144593,145044,145822,146761,147226,147706,148566,149197,149763,1755311
2022,150014,150876,151370,151642,151928,152348,153038,153281,153536,153897,154155,154291,1830376
