Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,6112.8,6110.6,6113.3,6127.4,6131.5,6133.5,6132.9,6131.7,6129.7,6128.9,6124.1,6128.7,73505.1
2020,6141.2,6137.1,6084.0,5326.7,5337.3,5445.1,5565.3,5642.2,5666.9,5696.8,5665.6,5655.6,68363.8
2021,5684.0,5716.4,5751.9,5767.1,5766.3,5779.9,5818.8,5829.5,5846.8,5898.9,5919.8,5954.0,69733.4
2022,5952.1,5968.8,5988.9,6009.5,6015.9,6023.1,6067.5,6072.3,6082.7,6070.8,6076.6,6070.7,72398.9
