Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,891.4,896.6,898.1,900.8,903.8,903.7,907.0,912.5,912.4,921.4,925.2,928.6,10901.5
2020,924.7,929.7,926.3,841.9,857.1,874.8,880.4,887.4,892.0,907.9,912.5,917.6,10752.3
2021,905.6,913.5,916.4,922.9,924.4,922.8,925.0,927.7,922.0,936.5,941.1,943.7,11101.6
2022,927.9,936.8,942.5,948.7,953.2,951.0,953.8,956.9,959.3,968.5,971.9,975.0,11445.5
