Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,551.3,550.4,550.4,547.6,549.7,552.3,550.6,549.2,548,546.1,547.6,548.8,6592
2020,547.1,547.2,547.5,542.6,542,540.1,539.4,541.2,542.7,541.3,541.6,541.4,6514.1
2021,542.4,542.5,543.4,543.8,544.1,545.5,545.7,544.9,545.6,545.9,547.1,547.7,6538.6
2022,550.8,551.4,552,553.1,555.4,557.2,560.1,562.8,563.8,566,566.9,568.3,6707.8
