Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,1050.5,1066.7,1068.5,1071.4,1071.5,1061.0,1054.6,1062.5,1078.5,1093.2,1098.8,1101.2,12878.4
2020,1087.6,1103.6,1098.0,992.5,1006.8,1019.2,1012.4,1023.6,1036.7,1057.9,1064.3,1067.3,12569.9
2021,1050.6,1065.5,1071.4,1081.7,1086.8,1074.4,1070.0,1078.4,1081.0,1102.8,1109.0,1109.2,12980.8
2022,1089.1,1104.4,1111.9,1119.1,1121.2,1108.3,1102.9,1112.9,1127.0,1144.4,1150.4,1152.4,13444.0
